DB.ID,DB.REVISION,PUB.CitationKey,PUB.Title,PUB.Author,PUB.Year,PUB.Link,PUB.Citations,PUB.CitationsPerYear,META.Name,META.Description,META.SPECIFIC_NEW_USE_CASE,META.SCOPE,META.FOCUS,META.GOAL,META.TOPIC,META.SETTING,MAPPING.HAS_MAPPING,MAPPING.FROM,MAPPING.ORIGIN,MAPPING.TO,MAPPING.CONCEPT,MAPPING.REPRESENTATION,MAPPING.MEANING,MAPPING.LEVEL,OUTPUT.ACTIVATION,OUTPUT.TRANSITION_TO_FOREGROUND,OUTPUT.MODALITY,OUTPUT.ACCESS,OUTPUT.INFORMATION_BANDWIDTH,OUTPUT.TECH,OUTPUT.SIMILARITY,EVAL.HAS_EVALUATION,EVAL.SAMPLE_SIZE,EVAL.TIME_PERIOD,EVAL.SETTING,EVAL.STUDY_GROUP,EVAL.DEVSTAGE,EVAL.USABILITY,EVAL.COGNITIVE_LOAD,EVAL.CHANGED_BEHAVIOUR,META.PSYCHOLOGICAL_GROUNDING,OUTPUT.INFORMATION_PPP,OUTPUT.BACKGROUND_EMBEDDING,OUTPUT.CUSTOM_HARDWARE,OUTPUT.CUSTOM_HARDWARE_ISSUES,OUTPUT.REMOTE_UPDATABILITY,OUTPUT.TEMPORAL_CONTEXT,OUTPUT.UPDATE_DYNAMIC,OUTPUT.AESTHETIC_EMPHASIS
00gi3p3lpn2r7,1,burzagliFromAmbientAssisted2018,From Ambient Assisted Living to Society Ambient Living,"Burzagli, Laura and Emiliani, Pier Luigi and Naldini, Simone",2018,,,0,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00nn23y98i5gp,1,alcanizNewTechnologiesAmbient2005,New Technologies For Ambient Intelligence,"Alcañiz, Mariano and Rey, Beatriz",2005,,87,5.6,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,
014syd8x1ai8l,1,anuradhaAspectsAmbientAssisted2017,Aspects of Ambient Assisted Living and Its Applications,"Anuradha, J. and Vandhana, S.",2017,,1,0.3,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01661exuetane,1,elhadyTowardsSensorFailure2018,Towards Sensor Failure Detection in Ambient Assisted Living: Sensors Correlations,"ElHady, Naney E. and Provost, Julien",2018,,,0,,,,AS,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01f3rqnwwx24,1,santosDemonstrationCaseDerivation2012,A Demonstration Case on the Derivation of Process-Level Logical Architectures for Ambient Assisted Living Ecosystems,"Santos, Nuno and Teixeira, Juliana and Pereira, António and Ferreira, Nuno and Lima, Ana and Simoes, Ricardo and Machado, Ricardo",2012,,6,0.7,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02eoyaxks2ul,1,matviienkoNaviLightInvestigatingAmbient2016,NaviLight: Investigating Ambient Light Displays for Turn-by-Turn Navigation in Cars,"Matviienko, Andrii and Löcken, Andreas and El Ali, Abdallah and Heuten, Wilko and Boll, Susanne",2016,,39,8.7,NaviLight,Ambient LED light display on/next to the steering wheel that conveys turn-by-turn navigation instructions in the periphery of the driver's vision,YES,ADAIS,"PROTOTYPE,EVAL,USECASE",INCREASE_AWARENESS,"RESOURCES,HEALTH",TRANSPORT,,,,,,,,,EVENT,MAKE_AWARE,VISUAL,PERSONAL,MEDIUM,LED,ARTIFICIAL,YES,43,HOURS,"IN_LAB,IN_PRESENTATION",USERS,SIMULATION,"INTERVIEW,QUESTIONNAIRE",PHYSIOLOGICAL,[NA],PERIPHERAL_ATTENTION,"PUSH,PRESENCE",PERIPHERAL_PLACEMENT,YES,NONE,NOT_MENTIONED,,,
042rfv7ok7kn,1,matthewsToolkitManagingUser2004,A Toolkit for Managing User Attention in Peripheral Displays,"Matthews, Tara and Dey, Anind K. and Mankoff, Jennifer and Carter, Scott and Rattenbury, Tye",2004,,211,12.8,Motion Monitor,A glass Ambient Orb that changes color faster as activity sensed by a camera in a remote location increases,NO,ADAIS,"DEV,PROTOTYPE",INCREASE_AWARENESS,SOCIAL,WORKPLACE,,,,,,,,,CONTINUOUS,MAKE_AWARE,VISUAL,PERSONAL,MEDIUM,LED,ARTIFICIAL,NO,,,,,,,,,"PERIPHERAL_ATTENTION,AWARENESS_CONSCIOUSNESS",PRESENCE,PERIPHERAL_PLACEMENT,NO,NA,NOT_MENTIONED,,,
05loyhkx76bi,1,Friedewald2006,"The Brave New World of Ambient Intelligence: An Analysis of Scenarios Regarding Privacy, Identity and Security Issues","Friedewald, Michael and Vildjiounaite, Elena and Punie, Yves and Wright, David",2006,,23,1.6,,,,AMI,,,HEALTH,"MEDICAL,EDUCATION",,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,
05ogwst0usho,1,strasserCombiningImplicitExplicit2012,Combining Implicit and Explicit Methods for the Evaluation of an Ambient Persuasive Factory Display,"Strasser, Ewald and Weiss, Astrid and Grill, Thomas and Osswald, Sebastian and Tscheligi, Manfred",2012,,9,1.1,Operator Guide (OG),"Ambient persuasive screen-based display that guides semiconductor factory operators through optimal next working steps, with optional ambient light and vibrating wristband alerts",YES,ADAIS,EVAL,"AID_IN_ACTIVITY,BEHAVIOURAL_CHANGE,NOTIFICATION","EVENTS,SAFETY",WORKPLACE,,,,,,,,,CONTINUOUS,MAKE_AWARE,"VISUAL,HAPTIC",PERSONAL,MEDIUM,"SCREEN,LED,MOTOR",ARTIFICIAL,YES,25,HOURS,IN_LAB,USERS,PROTOTYPE,"INTERVIEW,QUESTIONNAIRE",[NA],[NA],NONE,"PRESENCE,PUSH",PERIPHERAL_PLACEMENT,YES,NONE,NOT_MENTIONED,,,
06gckn3832nx,1,aartsNewEverydayViews2003,The New Everyday: Views on Ambient Intelligence,"Aarts, Emile and Marzano, Stefano",2003,,559,31.9,Garden,"Virtual Garden in which users of public transport are depicted as flowers in order to build a community ""alleviate the repetitive routine and discomforts of public transport"".",YES,"ADAIS,AMI",USECASE,UNSTATED,OTHER,HOME,,,,,,,,,,,[NA],,,,NA,NO,0,,,,,,,,NONE,,,NA,NA,NA,,,
07coqqdoc6px,1,choiStoneTypePhysiologicalSensing2008,Stone-Type Physiological Sensing Device for Daily Monitoring in an Ambient Intelligence Environment,"Choi, Ahyoung and Oh, Yoosoo and Park, Goeun and Woo, Woontack",2008,,7,0.6,,,,"AMI,AS",,,HEALTH,MEDICAL,,,,,,,,,,,,,,,,YES,,,,,,QUESTIONNAIRE,,,,,,,,,,,
07ez1d7w9svv,1,matthewsDefiningDesigningEvaluating2007,"Defining, Designing, and Evaluating Peripheral Displays: An Analysis Using Activity Theory","Matthews, Tara and Rattenbury, Tye and Carter, Scott",2007,,110,8.1,,,,,DEFTAX,,,,,,,,,,,,,,,,,,,YES,,,,,,"INTERVIEW,QUESTIONNAIRE",,,,,,,,,,,
07oi7xmn6ev3,1,griolAmbientAssistedLiving2015,An Ambient Assisted Living Mobile Application for Helping People with Alzheimer,"Griol, David and Molina, José Manuel",2015,,3,0.5,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08dfu1mvketk,1,houbenPhysikitDataEngagement2016,Physikit: Data Engagement Through Physical Ambient Visualizations in the Home,"Houben, Steven and Golsteijn, Connie and Gallacher, Sarah and Johnson, Rose and Bakker, Saskia and Marquardt, Nicolai and Capra, Licia and Rogers, Yvonne",2016,,80,17.8,Physikit: PhysiMove,A cube with a rotating star-shaped disk on top that visualizes sensed environmental data through movement.,YES,"ADAIS,IOT","PROTOTYPE,DEV,EVAL",INCREASE_AWARENESS,HEALTH,HOME,,,,,,,,,CONTINUOUS,MAKE_AWARE,"VISUAL,POS",HOUSEHOLD,MEDIUM,MOTOR,ARTIFICIAL,NO,5,WEEKS,IN_SITU,USERS,PROTOTYPE,"INTERVIEW,OBSERVATION,USAGE_STATISTIC,COMMENTS",[NA],SUBJECTIVE,NONE,"PUSH,PRESENCE",CAMOUFLAGE,YES,NONE,YES,,,
08kjx0wxe80i,1,santosHumanCrowdsourcingData2018,Human Crowdsourcing Data for Indoor Location Applied to Ambient Assisted Living Scenarios,"Santos, RBB",2018,,2,0.8,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09qfe0taovt3,1,villarrealMobileComputingAmbient2013,Mobile Computing in Ambient Assisted Living Environment,"Villarreal, Vladimir and Bravo, Jose and Hervas, Ramon and Saldana, Juan",2013,,1,0.1,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0am4cyrq4uwm,1,parraMultimediaSensorsEmbedded2016,Multimedia Sensors Embedded in Smartphones for Ambient Assisted Living and E-Health,"Parra, Lorena and Sendra, Sandra and Jiménez, José Miguel and Lloret, Jaime",2016,,28,6.2,,,,AS,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
